time,origin_node,sfc,sf,schedule_node,schedule_prob
0,pop0,sfc_1,a,pop0,1
0,pop0,sfc_1,a,pop1,0
0,pop0,sfc_1,a,pop2,0
0,pop0,sfc_1,b,pop0,1
0,pop0,sfc_1,b,pop1,0
0,pop0,sfc_1,b,pop2,0
0,pop0,sfc_1,c,pop0,1
0,pop0,sfc_1,c,pop1,0
0,pop0,sfc_1,c,pop2,0
0,pop1,sfc_1,a,pop0,0.34
0,pop1,sfc_1,a,pop1,0.33
0,pop1,sfc_1,a,pop2,0.33
0,pop1,sfc_1,b,pop0,0.34
0,pop1,sfc_1,b,pop1,0.33
0,pop1,sfc_1,b,pop2,0.33
0,pop1,sfc_1,c,pop0,0.34
0,pop1,sfc_1,c,pop1,0.33
0,pop1,sfc_1,c,pop2,0.33
0,pop2,sfc_1,a,pop0,0.34
0,pop2,sfc_1,a,pop1,0.33
0,pop2,sfc_1,a,pop2,0.33
0,pop2,sfc_1,b,pop0,0.34
0,pop2,sfc_1,b,pop1,0.33
0,pop2,sfc_1,b,pop2,0.33
0,pop2,sfc_1,c,pop0,0.34
0,pop2,sfc_1,c,pop1,0.33
0,pop2,sfc_1,c,pop2,0.33
100.0,pop0,sfc_1,a,pop0,1.0
100.0,pop0,sfc_1,a,pop1,0.0
100.0,pop0,sfc_1,a,pop2,0.0
100.0,pop0,sfc_1,b,pop0,0.0
100.0,pop0,sfc_1,b,pop1,0.0
100.0,pop0,sfc_1,b,pop2,1.0
100.0,pop0,sfc_1,c,pop0,0.34
100.0,pop0,sfc_1,c,pop1,0.33
100.0,pop0,sfc_1,c,pop2,0.33
100.0,pop1,sfc_1,a,pop0,0.34
100.0,pop1,sfc_1,a,pop1,0.33
100.0,pop1,sfc_1,a,pop2,0.33
100.0,pop1,sfc_1,b,pop0,0.34
100.0,pop1,sfc_1,b,pop1,0.33
100.0,pop1,sfc_1,b,pop2,0.33
100.0,pop1,sfc_1,c,pop0,0.34
100.0,pop1,sfc_1,c,pop1,0.33
100.0,pop1,sfc_1,c,pop2,0.33
100.0,pop2,sfc_1,a,pop0,0.34
100.0,pop2,sfc_1,a,pop1,0.33
100.0,pop2,sfc_1,a,pop2,0.33
100.0,pop2,sfc_1,b,pop0,0.34
100.0,pop2,sfc_1,b,pop1,0.33
100.0,pop2,sfc_1,b,pop2,0.33
100.0,pop2,sfc_1,c,pop0,0.0
100.0,pop2,sfc_1,c,pop1,1.0
100.0,pop2,sfc_1,c,pop2,0.0
200.0,pop0,sfc_1,a,pop0,1.0
200.0,pop0,sfc_1,a,pop1,0.0
200.0,pop0,sfc_1,a,pop2,0.0
200.0,pop0,sfc_1,b,pop0,0.0
200.0,pop0,sfc_1,b,pop1,0.0
200.0,pop0,sfc_1,b,pop2,1.0
200.0,pop0,sfc_1,c,pop0,0.34
200.0,pop0,sfc_1,c,pop1,0.33
200.0,pop0,sfc_1,c,pop2,0.33
200.0,pop1,sfc_1,a,pop0,0.34
200.0,pop1,sfc_1,a,pop1,0.33
200.0,pop1,sfc_1,a,pop2,0.33
200.0,pop1,sfc_1,b,pop0,0.34
200.0,pop1,sfc_1,b,pop1,0.33
200.0,pop1,sfc_1,b,pop2,0.33
200.0,pop1,sfc_1,c,pop0,0.34
200.0,pop1,sfc_1,c,pop1,0.33
200.0,pop1,sfc_1,c,pop2,0.33
200.0,pop2,sfc_1,a,pop0,0.34
200.0,pop2,sfc_1,a,pop1,0.33
200.0,pop2,sfc_1,a,pop2,0.33
200.0,pop2,sfc_1,b,pop0,0.34
200.0,pop2,sfc_1,b,pop1,0.33
200.0,pop2,sfc_1,b,pop2,0.33
200.0,pop2,sfc_1,c,pop0,0.0
200.0,pop2,sfc_1,c,pop1,1.0
200.0,pop2,sfc_1,c,pop2,0.0
300.0,pop0,sfc_1,a,pop0,1.0
300.0,pop0,sfc_1,a,pop1,0.0
300.0,pop0,sfc_1,a,pop2,0.0
300.0,pop0,sfc_1,b,pop0,0.0
300.0,pop0,sfc_1,b,pop1,0.0
300.0,pop0,sfc_1,b,pop2,1.0
300.0,pop0,sfc_1,c,pop0,0.34
300.0,pop0,sfc_1,c,pop1,0.33
300.0,pop0,sfc_1,c,pop2,0.33
300.0,pop1,sfc_1,a,pop0,0.34
300.0,pop1,sfc_1,a,pop1,0.33
300.0,pop1,sfc_1,a,pop2,0.33
300.0,pop1,sfc_1,b,pop0,0.34
300.0,pop1,sfc_1,b,pop1,0.33
300.0,pop1,sfc_1,b,pop2,0.33
300.0,pop1,sfc_1,c,pop0,0.34
300.0,pop1,sfc_1,c,pop1,0.33
